n,x,v
860,-0.0904421,-0.136596
861,-0.0905787,-0.13571
862,-0.0907144,-0.134823
863,-0.0908493,-0.133934
864,-0.0909832,-0.133044
865,-0.0911162,-0.132153
866,-0.0912484,-0.13126
867,-0.0913796,-0.130367
868,-0.09151,-0.129471
869,-0.0916395,-0.128575
870,-0.0917681,-0.127677
871,-0.0918957,-0.126778
872,-0.0920225,-0.125878
873,-0.0921484,-0.124977
874,-0.0922734,-0.124074
875,-0.0923974,-0.12317
876,-0.0925206,-0.122265
877,-0.0926429,-0.121358
878,-0.0927642,-0.120451
879,-0.0928847,-0.119542
880,-0.0930042,-0.118632
881,-0.0931229,-0.117721
882,-0.0932406,-0.116809
883,-0.0933574,-0.115896
884,-0.0934733,-0.114981
885,-0.0935883,-0.114066
886,-0.0937023,-0.113149
887,-0.0938155,-0.112231
888,-0.0939277,-0.111312
889,-0.094039,-0.110392
890,-0.0941494,-0.109471
891,-0.0942589,-0.108548
892,-0.0943674,-0.107625
893,-0.0944751,-0.106701
894,-0.0945818,-0.105775
895,-0.0946875,-0.104849
896,-0.0947924,-0.103921
897,-0.0948963,-0.102993
898,-0.0949993,-0.102063
899,-0.0951014,-0.101133
900,-0.0952025,-0.100201
901,-0.0953027,-0.0992687
902,-0.095402,-0.0983352
903,-0.0955003,-0.0974007
904,-0.0955977,-0.0964653
905,-0.0956942,-0.0955289
906,-0.0957897,-0.0945916
907,-0.0958843,-0.0936533
908,-0.0959779,-0.0927141
909,-0.0960707,-0.091774
910,-0.0961624,-0.090833
911,-0.0962533,-0.0898911
912,-0.0963432,-0.0889483
913,-0.0964321,-0.0880047
914,-0.0965201,-0.0870601
915,-0.0966072,-0.0861147
916,-0.0966933,-0.0851685
917,-0.0967784,-0.0842214
918,-0.0968627,-0.0832735
919,-0.0969459,-0.0823248
920,-0.0970283,-0.0813752
921,-0.0971096,-0.0804249
922,-0.0971901,-0.0794737
923,-0.0972695,-0.0785218
924,-0.0973481,-0.0775691
925,-0.0974256,-0.0766156
926,-0.0975022,-0.0756614
927,-0.0975779,-0.0747064
928,-0.0976526,-0.0737507
929,-0.0977264,-0.0727942
930,-0.0977992,-0.071837
931,-0.097871,-0.0708792
932,-0.0979419,-0.0699206
933,-0.0980118,-0.0689613
934,-0.0980808,-0.0680013
935,-0.0981488,-0.0670407
936,-0.0982158,-0.0660794
937,-0.0982819,-0.0651175
938,-0.098347,-0.0641549
939,-0.0984112,-0.0631916
940,-0.0984743,-0.0622278
941,-0.0985366,-0.0612633
942,-0.0985978,-0.0602982
943,-0.0986581,-0.0593326
944,-0.0987175,-0.0583663
945,-0.0987758,-0.0573994
946,-0.0988332,-0.056432
947,-0.0988897,-0.055464
948,-0.0989451,-0.0544955
949,-0.0989996,-0.0535265
950,-0.0990532,-0.0525569
951,-0.0991057,-0.0515867
952,-0.0991573,-0.0506161
953,-0.0992079,-0.049645
954,-0.0992576,-0.0486733
955,-0.0993062,-0.0477012
956,-0.0993539,-0.0467286
957,-0.0994007,-0.0457555
958,-0.0994464,-0.044782
959,-0.0994912,-0.0438081
